 and ,dan
"(Absolute path or Relative to Magento install root, ex. var/export)","(Path mutlak atau relatif ke Magento menginstal root, mantan var / ekspor.)"
(For US 2-letter state names),(Untuk US nama negara 2 huruf)
(If left empty will be auto-generated),(Jika dibiarkan kosong akan otomatis dihasilkan)
(Leave empty for first spreadsheet),(Biarkan kosong untuk spreadsheet pertama)
(Products will be added/updated to this store if 'store' column is blank or missing in the import file.),(Produk akan ditambahkan / diupdate ke toko ini jika kolom 'toko' kosong atau hilang dalam file impor.)
(Shift-)Click or drag to change value,(Shift-) Klik atau seret untuk mengubah nilai
(Starting with),(Dimulai dengan)
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ketika 'Tidak', bidang hanya dipetakan akan diimpor. Ketika pemetaan, penggunaan 'column1', 'column2', dll)"
(You have to increase php memory_limit before changing this value),(Anda harus meningkatkan php memory_limit sebelum mengubah nilai ini)
(\t for tab),(\ T untuk tab)
#NAME?,#NAME?
#NAME?,#NAME?
- Use the %s buttons to select month,- Gunakan tombol% ??s untuk memilih bulan
"- Use the %s, %s buttons to select year","- Gunakan%s, tombol% ??s untuk memilih tahun"
#NAME?,#NAME?
#NAME?,#NAME?
API:,API:
About the calendar,Tentang kalender
Access Denied.,Akses Ditolak.
Account Created in:,Rekening Dibuat di:
Account Created on (%s):,Rekening Dibuat (%s):
Account Created on:,Akun Dibuat pada:
Action,Tindakan
Actions,Tindakan
Add,Menambahkan
Add Contents Path,Tambahkan Isi Jalur
Add Field with URL:,Tambahkan Lapangan dengan URL:
Add Maintainer,Tambahkan Maintainer
Add New Role,Tambahkan Peran Baru
Add New Template,Tambahkan Template Baru
Add New User,Add New Pengguna
Add PHP Extension dependency,Tambahkan PHP Ekstensi ketergantungan
Add Package dependency,Tambahkan Paket ketergantungan
Add Subpackage dependency,Tambahkan sub-paket ketergantungan
Add new store view map,Tambah baru lihat toko peta
Add new website map,Tambahkan peta situs baru
Address Type:,Tipe Alamat:
All,Semua
All Websites,Semua Website
All fields,Semua bidang
Archive file name:,Arsip nama file:
Are you sure that you want to delete this template?,Apakah Anda yakin bahwa Anda ingin menghapus template ini?
Are you sure that you want to strip tags?,Apakah Anda yakin bahwa Anda ingin menghapus tag?
Attribute Set Name:,Atribut Set Nama:
Attributes,Atribut
Available Products,Produk yang tersedia
Big Image,Big Gambar
Billing Address,Penagihan Alamat
Bundle Items,Bundle Item
Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.,Bundle dengan harga yang dinamis tidak dapat menyertakan opsi didefinisikan kustom. Pilihan tidak akan disimpan.
CSV / Tab separated,CSV / Tab dipisahkan
Card Verification Number,Verifikasi Nomor Kartu
Catalog,Katalog
Channel,Saluran
Channel:,Channel:
Choose Store View,Pilih Toko View
Client Session timeout (sec.),Sesi klien timeout (sec.)
Close,Dekat
Comments History,Komentar Sejarah
Confirmed email:,Email dikonfirmasi:
Connect with the Magento Community,Hubungkan dengan Komunitas Magento
Contents,Isi
Country:,Negara:
Create New Staging Store View,Buat New Staging Toko View
Create a backup,Buat cadangan
Created <strong>%s</strong> items,Dibuat <strong>%s </ strong> item
Credit Card Number,Nomor Kartu Kredit
Credit Card Number: xxxx-%s,Nomor Kartu Kredit: xxxx-%s
Credit Card Type,Kartu Kredit Jenis
Credit Card Type: %s,Kartu Kredit Jenis:%s
Credit Memo History,Sejarah Memo Kredit
Credit Memo Totals,Total Memo Kredit
Current Configuration Scope:,Konfigurasi saat Cakupan:
Current Release Information,Informasi Rilis saat ini
Custom,Adat
Customer Group:,Kelompok pelanggan:
Customer Since:,Pelanggan Sejak:
Customers,Pelanggan
DHTML Date/Time Selector,DHTML Tanggal / Waktu Pemilih
Dashboard,Dasbor
Data Format,Data Format
Data transfer:,Transfer data:
Date selection:,Tanggal seleksi:
Date selector,Tanggal pemilih
Date:,Tanggal:
Decimal separator:,Desimal pemisah:
Default (Admin) Values,Default (Admin) Nilai
Default Values,Nilai Default
Delete,Hapus
Dependencies,Dependensi
Description:,Keterangan:
Direction:,Arah:
Display %s first,Tampilan%s pertama
Distributed under GNU LGPL. See %s for details.,Didistribusikan di bawah GNU LGPL. Lihat%s untuk rincian.
Done By:,Dilakukan Oleh:
Done by:,Dilakukan oleh:
Download Remote File,Unduh Remote File
Drag to move,Seret untuk bergerak
Edit Role,Mengedit Peran
Edit User '%s',Mengedit Pengguna%s '
Email,Email
Email Preview,Email Preview
Email:,Email:
Enclose Values In:,Lampirkan Nilai Dalam:
Entity type:,Jenis entitas:
Excl. Tax,Excl. Pajak
Exclude,Mengecualikan
Expiration Date,Tanggal Kadaluarsa
Expiration Date: %s/%s,Tanggal Kadaluarsa:%s /%s
Export,Ekspor
Export Filters,Filter ekspor
Export to:,Ekspor ke:
Export:,Ekspor:
Extension,Perpanjangan
Extensions,Ekstensi
FTP Host[:Port],FTP host [: Port]
Field Mapping,Pemetaan bidang
File Information,Informasi berkas
