"Action","Aksi"
"All types","Semua Tipe"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","File cadangan tidak ada"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Cadangan"
"Cannot read backup file","Tidak dapat membaca file cadangan"
"Create Backup","Buat Cadangan"
"DB","DB"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Download"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","File dipadatkan dengan Zlib, tapi ekstensi ini tidak di install di server"
"Size, byte","Size, byte"
"Time","Waktu"
"Type","Tipe"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Urutan yang salah dalam pembuatan cadangan baru"
