%s,%s
%s already exist.,%s sudah ada.
%s already exists.,%s sudah ada.
-- Please Select --,- Silahkan Pilih -
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Perhatian!</strong> Bila menggunakan CDN, dalam beberapa kasus JavaScript tidak dapat berjalan dengan baik jika CDN tidak di subdomain Anda"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Perhatian!</strong> Bila menggunakan Toko Kode di URL, dalam beberapa kasus sistem tidak dapat bekerja dengan baik jika URL tanpa toko Kode ditentukan dalam jasa pihak ketiga (misalnya PayPal dll)."
A category object is required for determining the product request path.,Sebuah objek kategori diperlukan untuk menentukan jalur permintaan produk.
Add Block Names to Hints,Tambahkan Nama Blok ke Petunjuk
Add Secret Key to URLs,Tambahkan Kunci Rahasia URL
Add Store Code to Urls,Tambahkan Toko Kode untuk Url
Admin,Admin
Admin Base URL,URL Basis Admin
Admin User Emails,Email Admin Pengguna
Advanced,Pengaturan Mutakhir
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Setelah memilih lokasi penyimpanan media baru, tekan tombol Synchronize
                                untuk mentransfer semua media ke lokasi tersebut. Media tidak akan tersedia di baru
                                lokasi sampai proses sinkronisasi selesai. "
Allow Countries,Izinkan Negara
Allow Magento Backend to run in frame,Biarkan Magento Backend untuk berjalan dalam bingkai
Allow Magento Frontend to run in frame,Biarkan Magento Frontend untuk berjalan dalam bingkai
Allow Symlinks,Biarkan Symlink
Allowed IPs (comma separated),Diizinkan IP (dipisahkan koma)
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Diizinkan jenis file: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Tidak semua browser mendukung semua format ini!"
Allows customers to stay logged in when switching between different stores.,Memungkinkan pelanggan untuk tetap login bila beralih di antara toko yang berbeda.
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Teks alternatif untuk tautan berikutnya di menu pagination. Jika kosong, standar gambar panah akan digunakan."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Teks alternatif untuk link sebelumnya di menu pagination. Jika kosong, standar gambar panah akan digunakan."
An error occurred while saving. Please review the error log.,Terjadi kesalahan saat menyimpan. Silakan tinjau log kesalahan.
Anchor Text for Next,Anchor Text untuk Berikutnya
Anchor Text for Previous,Anchor Text untuk Sebelumnya
Anchor symbol (#) is not supported in request path,Simbol jangkar (#) tidak didukung dalam permintaan jalan
Anchor symbol (#) is not supported in url rewrite suffix,Simbol jangkar (#) tidak didukung di url rewrite suffix
Are you sure?,Apa kamu yakin?
Auto-redirect to Base URL,Auto-redirect ke Base URL
Back,Kembali
Backup Options,Pilihan Backup
Base JavaScript URL,Basis JavaScript URL
Base Link URL,Basis URL Link
Base Media URL,Basis Media URL
Base Secure URL,Basis Aman URL
Base Skin URL,URL Skin dasar
Base URL,Basis URL
Base Unsecure URL,Basis Unsecure URL
Before modifying the store view code please make sure that it is not used in index.php.,Sebelum memodifikasi toko tampilan kode pastikan bahwa itu tidak digunakan dalam index.php.
Before modifying the website code please make sure that it is not used in index.php.,Sebelum memodifikasi kode situs pastikan bahwa itu tidak digunakan dalam index.php.
"Block with name ""%s"" already exists","Blok dengan nama ""%s"" sudah ada"
Browser Capabilities Detection,Kemampuan Browser Deteksi
CSS Settings,Pengaturan CSS
Cache Storage Management,Manajemen Penyimpanan Cache
